English version	Label	News	Author	Date	URL
Says Daniel Radcliffe has the coronavirus.	 entertainment	டேனியல் ராட்கிளிஃப் கொரோனா வைரஸால் பாதிக்கப்பட்டுள்ளார்.	 Tweets 	" stated on March 10, 2020 in in a tweet: "	/factchecks/2020/mar/11/tweets/no-daniel-radcliffe-does-not-have-coronavirus/
"Says Kobe Bryant's wife ""recorded her suicide after depression attack this morning."""	entertainment	"கோபி பிரையன்ட்டின் மனைவி ""இன்று காலை மனச்சோர்வு தாக்குதலுக்குப் பிறகு தற்கொலை செய்து கொண்டார்"" என்று கூறுகிறார்."	 Bloggers 	" stated on February 3, 2020 in a blog post: "	/factchecks/2020/feb/03/blog-posting/headline-about-kobe-bryants-wifes-death-gruesome-h/
Says Bill Cosby was framed for sexual assault by the Illuminati to stop him from buying NBC.	 entertainment	பில் காஸ்பி என்பிசியை வாங்குவதைத் தடுப்பதற்காக இல்லுமினாட்டிகளால் பாலியல் வன்கொடுமைக்காகக் கட்டமைக்கப்பட்டதாகக் கூறுகிறார்.	 Facebook posts 	" stated on June 14, 2017 in a Facebook post: "	/factchecks/2019/nov/04/facebook-posts/no-bill-cosby-wasnt-framed-sexual-assault-stop-him/
"Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is ""one of the subhuman monsters our president set free."""	['entertainment']	"தலை துண்டிக்கப்பட்ட ஐந்து மனிதத் தலைகளுக்கு முன்னால் ஒரு நபர் போஸ் கொடுப்பதைப் போன்ற ஒரு படத்தை அவர் பேஸ்புக்கில் வெளியிட்டார், ""எங்கள் ஜனாதிபதி விடுவிக்கப்பட்ட மனிதாபிமானமற்ற மனிதர்களில் ஒருவர்"" என்று கூறுகிறார்."	 Ted Nugent 	" stated on June 12, 2014 in a Facebook post: "	/factchecks/2014/jun/16/ted-nugent/nugent-ties-gory-photo-bergdahl-prisoner-swap/
"""Statistics show one male cat can father 420,000 kittens in five years."""	['entertainment']	"""ஒரு ஆண் பூனை ஐந்து ஆண்டுகளில் 420,000 பூனைக்குட்டிகளை வளர்க்கும் என்று புள்ளிவிவரங்கள் காட்டுகின்றன."""	 Central Falls Police Department 	" stated on January 28, 2013 in a news release: "	/factchecks/2013/feb/02/central-falls-police-department/central-falls-ri-animal-control-says-one-male-cat-/
"Says ""there is no"" COVID-19 virus."	miscellaneous	"COVID-19 வைரஸ் ""இல்லை"" என்கிறார்."	 Facebook posts 	" stated on March 19, 2020 in a post: "	/factchecks/2020/mar/19/facebook-posts/facebook-users-are-claiming-there-no-coronavirus-s/
Says a mall Santa beat up a child molester.	miscellaneous	ஒரு மால் சாண்டா ஒரு குழந்தை துஷ்பிரயோகம் செய்பவரை அடித்தார் என்று கூறுகிறார்.	 Bloggers 	" stated on November 7, 2019 in a Facebook post: "	/factchecks/2019/nov/26/blog-posting/dont-fall-story-mall-santa-beating-child-molester/
"""14,000 abandoned wind turbines litter the United States."""	miscellaneous	"""14,000 கைவிடப்பட்ட காற்றாலை விசையாழிகள் அமெரிக்காவில் குப்பைகள்."""	 Chain email 	" stated on October 25, 2019 in a chain email: "	/factchecks/2019/oct/25/chain-email/no-there-arent-14000-abandoned-wind-turbines-litte/
"""Barack Hussein Obama will ... force doctors to assist homosexuals in buying surrogate babies."""	['miscellaneous']	"""பராக் ஹுசைன் ஒபாமா ... வாடகை குழந்தைகளை வாங்குவதற்கு ஓரினச்சேர்க்கையாளர்களுக்கு உதவுமாறு மருத்துவர்களை கட்டாயப்படுத்துவார்."""	 Government is Not God PAC 	" stated on September 23, 2012 in a newspaper advertisement: "	/factchecks/2012/sep/27/government-not-god-pac/ad-claims-obama-will-force-doctors-assist-homosexu/
"""Portland schools spend $500K to deem PB&J sandwiches racist."""	['miscellaneous']	"""PB&J சாண்ட்விச்களை இனவெறியாகக் கருத போர்ட்லேண்ட் பள்ளிகள் $500K செலவிடுகின்றன."""	 Education Action Group 	" stated on September 16, 2012 in an online post: "	/factchecks/2012/sep/18/education-action-group/portland-schools-spending-half-million-dollars-dec/
"Says President Donald Trump said, ""People are dying who have never died before."""	politics 	"அமெரிக்க அதிபர் டொனால்ட் டிரம்ப், “இதுவரை இறக்காத மக்கள் இறந்து கொண்டிருக்கிறார்கள்” என்று கூறினார்."	 Facebook posts 	" stated on March 18, 2020 in a Facebook post: "	/factchecks/2020/mar/19/facebook-posts/no-trump-didnt-say-people-are-dying-who-have-never/
"Ken Cuccinelli ""tried to shut down"" state government."	['politics']	"கென் குசினெல்லி மாநில அரசாங்கத்தை ""மூட முயற்சித்தார்""."	 Terry McAuliffe 	" stated on September 25, 2013 in a debate.: "	/factchecks/2013/oct/02/terry-mcauliffe/mcauliffe-says-cuccinelli-tried-shut-down-va-gover/
"Obamacare ""will provide insurance to all non-U.S. residents, even if they are here illegally."""	['politics']	"Obamacare ""அமெரிக்காவில் வசிப்பவர்கள் அல்லாத அனைவருக்கும், அவர்கள் சட்டவிரோதமாக இங்கு இருந்தாலும், காப்பீடு வழங்கும்."""	 Chain email 	" stated on July 7, 2013 in a long-running chain email: "	/factchecks/2013/jul/09/chain-email/illegal-immigrants-are-covered-under-health-care-l/
"Says Paul Ryan's budget plan ""ends Medicare."""	['politics']	"பால் ரியானின் பட்ஜெட் திட்டம் ""மருத்துவக் காப்பீட்டை முடிக்கிறது"" என்கிறார்."	 Rob Zerban 	" stated on October 4, 2012 in a TV ad: "	/factchecks/2012/oct/17/rob-zerban/paul-ryans-house-opponent-democrat-rob-zerban-says/
"Said they reached a ""power-sharing agreement"" with Republican Lt. Govt. Casey Cagle"	['politics']	"அவர்கள் குடியரசுக் கட்சியின் லெப்டினன்ட் கவர்னர் கேசி கேக்லேவுடன்  ""அதிகாரப் பகிர்வு ஒப்பந்தத்தை"" அடைந்ததாகக் கூறினார்."	 Republican state senators 	" stated on November 5, 2010 in Statements to reporters: "	/factchecks/2010/nov/17/republican-state-senators/georgia-senate-leaders-claim-power-sharing-lieuten/
"Kieron Pollard is good: Viral 'Kieron Pollard Death' news, fanatic fans"	sport	"Kieron Pollard நல்லாதான் இருக்காரு: Viral ஆன ‘Kieron Pollard Death’ செய்தி, வெறியான fans"	undefined	"Jan 29, 2021, 07:56 PM IST"	https://zeenews.india.com/tamil/social/kieron-pollard-dead-claims-fake-news-after-youtube-accident-video-goes-viral-355642
Is this the home of cricketer Natarajan?	sport	ிரிக்கெட் வீரர் நடராஜனின் வீடா இது?	Manikandaprabu S	"17 Dec 2020, 5:14 pm"	https://tamil.samayam.com/latest-news/fact-check/fact-check-is-this-cricket-player-natarajan-house/articleshow/79779159.cms
"""North Korea is telling its people that their men's national team is in the World Cup final."""	['sport']	"""உலகக் கோப்பை இறுதிப் போட்டியில் தங்கள் ஆண்கள் தேசிய அணி இருப்பதாக வட கொரியா தனது மக்களிடம் கூறுகிறது."""	 Bloggers 	" stated on July 12, 2014 in a post on the blog ""Outside the Beltway"": "	/factchecks/2014/jul/17/blog-posting/blog-says-north-korea-told-its-people-their-team-m/
